  2 ,    1.43
  3 ,    1.93
  4 ,    3.17
  5 ,    4.44
  6 ,    3.43
  7 ,    1.93
  8 ,    4.78
  9 ,    4.45
 10 ,    4.56
 11 ,    3.66
 12 ,    3.78
  1 ,    1.70
  2 ,    1.83
  3 ,    2.36
  4 ,    2.63
  5 ,    2.17
  6 ,    2.31
  7 ,    2.38
  8 ,    3.29
  9 ,    4.34
 10 ,    3.23
 11 ,    4.98
 12 ,    1.68
  1 ,    3.09
  2 ,    2.87
  3 ,    3.28
  4 ,    0.85
  5 ,    3.28
  6 ,    3.39
  7 ,    2.53
  8 ,    3.28
  9 ,    3.55
 10 ,    7.44
 11 ,    9.15
 12 ,    4.02
  1 ,    2.76
  2 ,    1.91
  3 ,    3.29
  4 ,    2.36
  5 ,    2.76
  6 ,    3.70
  7 ,    0.58
  8 ,    1.18
  9 ,    2.32
 10 ,    2.83
 11 ,    2.19
 12 ,    5.13
  1 ,    4.02
  2 ,    0.74
  3 ,    1.31
  4 ,    0.95
  5 ,    1.01
  6 ,    2.23
  7 ,    3.26
  8 ,    4.06
  9 ,    4.24
 10 ,    1.69
 11 ,    2.60
 12 ,    4.51
  1 ,    3.17
  2 ,    3.35
  3 ,    3.27
  4 ,    0.29
  5 ,    2.13
  6 ,    1.91
  7 ,    4.85
  8 ,    2.06
  9 ,    7.39
 10 ,    3.98
 11 ,    2.32
 12 ,    3.01
  1 ,    3.94
  2 ,    3.96
  3 ,    0.83
  4 ,    0.70
  5 ,    3.75
  6 ,    3.42
  7 ,    4.48
  8 ,    4.25
  9 ,    7.26
 10 ,    3.72
 11 ,    2.90
 12 ,    3.26
  1 ,    4.65
  2 ,    0.43
  3 ,    3.70
  4 ,    3.31
  5 ,    1.82
  6 ,    1.37
  7 ,    2.19
  8 ,    0.68
  9 ,    0.35
 10 ,    6.20
 11 ,    9.05
 12 ,    5.86
  1 ,    5.16
  2 ,    4.43
  3 ,    2.30
  4 ,    3.63
  5 ,    1.85
  6 ,    1.71
  7 ,    3.52
  8 ,    3.88
  9 ,    5.45
 10 ,    5.94
 11 ,    8.06
 12 ,    4.96
  1 ,    4.63
  2 ,    2.84
  3 ,    0.57
  4 ,    4.73
  5 ,    1.57
  6 ,    1.31
  7 ,    1.98
  8 ,    3.94
  9 ,    4.44
 10 ,    6.84
 11 ,    2.50
 12 ,    2.88
  1 ,    4.46
  2 ,    1.14
  3 ,    1.48
  4 ,    2.89
  5 ,    2.06
